transcriptionid	videoid	Domain	termname	videoname	deptname	deptacronym	CourseNumber	CourseName	SectionName
0e5047cd-7d46-49d0-a2ab-8ee74d7a774b	8a61c9fd-e6a7-472b-b82f-2329be691ccb	illinois.edu	Fall 2021	CS241-Lec02-Q12	Computer Science	CS	241	System Programming	AL1
a855d876-1b55-4c60-aedf-e70a95f03847	a575d7d3-6f44-4d8c-ad29-b65cd0732053	illinois.edu	Fall 2021	CS241-Lec02-Q13	Computer Science	CS	241	System Programming	AL1
b0c92d50-f05e-4513-bf48-995a2b995850	e291bfce-3031-4b8f-bfff-c864ea6ab577	illinois.edu	Fall 2021	CS241-Lec02-Q14	Computer Science	CS	241	System Programming	AL1
f8ecc9da-31e3-4c40-bd72-4df6058e9d24	3f81a7ca-c14c-49c3-b4e6-618cc1b96399	illinois.edu	Fall 2021	CS241-Lec03-Q01	Computer Science	CS	241	System Programming	AL1
f84e2260-9145-46a3-bdce-409d6138324a	35b67834-2245-424d-9961-41a7cf65335c	illinois.edu	Fall 2021	CS241-Lec03-Q02	Computer Science	CS	241	System Programming	AL1
c8a95218-1f53-4559-b5f5-32b9385d7f90	e5f8a046-ae9a-4e4d-a5c8-9ff0496dc4ae	illinois.edu	Fall 2021	CS241-Lec03-Q03	Computer Science	CS	241	System Programming	AL1
f7acd66f-6e2d-4d16-ad5b-83adf8627df9	f9b92429-1b03-496b-bca0-46b57da14948	illinois.edu	Fall 2021	CS241-Lec03-Q04	Computer Science	CS	241	System Programming	AL1
689b84d6-86d5-4519-8312-97bd8c8fecd0	4dff5584-1cc0-4488-a933-ace44b5e67fe	illinois.edu	Fall 2021	CS241-Lec03-Q05	Computer Science	CS	241	System Programming	AL1
2e2bb4d7-75e2-4780-90b7-77bbe8fd3c70	35ea3b9d-5d9f-4633-a0b7-62244152ec0e	illinois.edu	Fall 2021	CS241-Lec03-Q06	Computer Science	CS	241	System Programming	AL1
1af0122b-b9dc-41df-a00a-b449acd1c803	f696b3a5-103e-4c7e-abe6-f90918079d84	illinois.edu	Fall 2021	CS241-Lec03-Q07	Computer Science	CS	241	System Programming	AL1
f6868da9-5be3-472a-ac74-0889cc0d698a	735b2e81-3634-4198-8712-ac53348660ef	illinois.edu	Fall 2021	CS241-Lec03-Q08	Computer Science	CS	241	System Programming	AL1
2ce0c44c-c7e2-4bab-becf-4f3ab3af2d11	fc1e6e9e-bb82-4f05-b87b-4b6a64218ee2	illinois.edu	Fall 2021	CS241-Lec03-Q09	Computer Science	CS	241	System Programming	AL1
b876ebf8-b1c2-4187-bfab-f4c2fa732965	421cc036-ba96-45c2-b994-d272a211cb75	illinois.edu	Fall 2021	CS241-Lec03-Q10	Computer Science	CS	241	System Programming	AL1
95b8a0e0-2c36-49bf-aa43-15733ee06e86	ab6cb7b8-03b1-42c9-a610-62498fa0491a	illinois.edu	Fall 2021	CS241-Lec04-Q01	Computer Science	CS	241	System Programming	AL1
64320885-c055-41b4-9516-16a7910a1baa	176a4ee0-3eeb-451a-a5a8-e43b858d953b	illinois.edu	Fall 2021	CS241-Lec04-Q02	Computer Science	CS	241	System Programming	AL1
eb1a08a4-8b77-4361-a5d8-4e3b26439f27	81ad1e89-72f6-4416-8929-c0840f3dc6db	illinois.edu	Fall 2021	CS241-Lec04-Q03	Computer Science	CS	241	System Programming	AL1
6fa7868f-bbe1-47f6-bee8-22507dfcc8c8	94c88f45-0200-4219-a75e-0e51bb15ceab	illinois.edu	Fall 2021	CS241-Lec04-Q04	Computer Science	CS	241	System Programming	AL1
14544fe6-66a5-40d6-988b-0d22aa081150	55e95ae3-c3e5-47d3-82f0-16e841239c31	illinois.edu	Fall 2021	CS241-Lec04-Q05	Computer Science	CS	241	System Programming	AL1
367502e6-86bd-4b7c-8b0f-a6d09829fe75	6e2fe450-765e-4c71-ad59-ede5c821031d	illinois.edu	Fall 2021	CS241-Lec04-Q06	Computer Science	CS	241	System Programming	AL1
aaed71d6-01a3-42f8-b99e-ca3a84253b58	a354e1c2-b97f-431a-bb14-eb1027614085	illinois.edu	Fall 2021	CS241-Lec04-Q07	Computer Science	CS	241	System Programming	AL1
603b0b01-6f4b-4c59-b606-c075dd30516e	32deb242-d33d-4c69-87e8-c057f9be069d	illinois.edu	Fall 2021	CS241-Lec05-pt1	Computer Science	CS	241	System Programming	AL1
8459ee6a-30aa-499c-9226-74f97c8f7ce4	830abb49-520d-4caa-88f7-7fa7edc0b779	illinois.edu	Fall 2021	CS241-Lec05-pt2	Computer Science	CS	241	System Programming	AL1
7a7590a3-2294-4d27-89ff-d625512f82e5	dd12ff9e-a55a-40c9-9a83-9ee8b0b46f45	illinois.edu	Fall 2021	CS241-Lec05-pt3	Computer Science	CS	241	System Programming	AL1
7292aa1d-0d99-46a1-8077-9688f41b785d	86a7396f-27db-4e6c-b655-917789f82340	illinois.edu	Fall 2021	CS241-Lec05-pt4	Computer Science	CS	241	System Programming	AL1
42ebcdb6-a366-49f4-b95a-a0614c5ac1ce	036fed8d-5c24-467e-a1b0-72f466969983	illinois.edu	Fall 2021	CS241-Lec05-pt5	Computer Science	CS	241	System Programming	AL1
ca407966-df2d-404e-98ad-238fa2551362	8f80cc01-b087-4a2b-81ac-0f88ebd83bed	illinois.edu	Fall 2021	CS241-Lec05-pt6	Computer Science	CS	241	System Programming	AL1
e1cac33e-3bee-4e92-81db-c22e4418b623	042085cd-c036-47fa-9bdd-bd3bcaa7cbbf	illinois.edu	Fall 2021	CS241-Lec05-pt7	Computer Science	CS	241	System Programming	AL1
7dd4705a-6995-4f39-a32c-12a1174bd04e	fcfb3fc4-e052-4945-b2ce-cae346ae8691	illinois.edu	Fall 2021	CS241-Lec05-pt8	Computer Science	CS	241	System Programming	AL1
b4efecab-e0c0-41b8-b21e-6ccca0ed2893	c74e53e3-7589-4a9d-aed5-967e3f8d0b53	illinois.edu	Fall 2021	CS241-Lec06-Q01	Computer Science	CS	241	System Programming	AL1
d310b36e-5c21-4803-b0c6-78d62b73b532	6ab5ec08-d21e-4866-9b15-09221281f827	illinois.edu	Fall 2021	CS241-Lec06-Q02	Computer Science	CS	241	System Programming	AL1
6294f981-6e83-4197-a055-9b34816b1257	9e1a28f7-56a3-4258-9288-af5e2beb45a1	illinois.edu	Fall 2021	CS241-Lec06-Q03	Computer Science	CS	241	System Programming	AL1
0e904504-e9c5-4ef5-9739-b762f6053521	fc065bf3-777d-4690-b217-f9568d4bec9e	illinois.edu	Fall 2021	CS241-Lec06-Q04	Computer Science	CS	241	System Programming	AL1
adb2cfd0-541a-4a0b-b58d-3929f1a61fdc	9652692e-dd31-4b04-8bab-b6d245aecec6	illinois.edu	Fall 2021	CS241-Lec06-Q05	Computer Science	CS	241	System Programming	AL1
67bd4b3a-2f54-49a6-9c31-ff5dd35bf7d9	aa9e33c6-a872-4155-8f15-759bf1e8c65b	illinois.edu	Fall 2021	CS241-Lec06-Q06	Computer Science	CS	241	System Programming	AL1
28a2bdb5-a357-4b00-bb00-b9d1e478498b	ff48fb8a-7459-4d82-86ef-31dbaea0f7b2	illinois.edu	Fall 2021	CS241-Lec06-Q07	Computer Science	CS	241	System Programming	AL1
084ced83-e9fe-4139-9d64-86f4824864cf	108390da-601d-47c2-a2fe-1e440bc78526	illinois.edu	Fall 2021	CS241-Lec06-Q08	Computer Science	CS	241	System Programming	AL1
e0d9ea58-cf82-4b71-957b-9da72ccb2d90	b7d6e152-6300-4755-9138-6b7a1415bad0	illinois.edu	Fall 2021	CS241-Lec07-Q01	Computer Science	CS	241	System Programming	AL1
0173c9a1-6ea6-40ab-b5d1-ccc145c2f251	9ddc3e54-7056-4d45-94c2-938416dedecd	illinois.edu	Fall 2021	CS241-Lec07-Q02	Computer Science	CS	241	System Programming	AL1
4aa29e14-ce85-47a2-a685-4c0979a6c56b	5efe301e-89c5-4f68-94e3-d412a7af6811	illinois.edu	Fall 2021	CS241-Lec07-Q03-05	Computer Science	CS	241	System Programming	AL1
4566a81d-1bd5-43f8-8720-ba122a2b1f23	0e2fc0f6-79b1-4873-95ee-99be5024a8a4	illinois.edu	Fall 2021	CS241-Lec07-Q06	Computer Science	CS	241	System Programming	AL1
f4854068-5be5-4c56-b771-fcf375c9a2d2	6e63064e-0830-44c5-98a6-818bbccf0d21	illinois.edu	Fall 2021	CS241-Lec07-Q07-08	Computer Science	CS	241	System Programming	AL1
3645730a-4aa1-43d8-be7d-16db4e0c5df3	ef085c9c-bb05-469c-bb13-9f2c3cd0a7fa	illinois.edu	Fall 2021	CS241-Lec07-Q09	Computer Science	CS	241	System Programming	AL1
94ea6cdc-aa81-48b6-84f3-323a89a40075	bac3a6e5-3e40-4b87-bed0-f2656c7e4363	illinois.edu	Fall 2021	CS241-Lec07-Q10	Computer Science	CS	241	System Programming	AL1
14984eb1-a900-473a-816e-4e304fedc041	3cb0077e-7009-43d8-93c6-d5e8cc734fa1	illinois.edu	Fall 2021	CS241-Lec08-Q01	Computer Science	CS	241	System Programming	AL1
3b653f0c-c210-4f13-a615-5d87a823e96e	38d1bed1-cb70-4f20-8e6a-2a695284903b	illinois.edu	Fall 2021	CS241-Lec08-Q02	Computer Science	CS	241	System Programming	AL1
76fdcfca-2df3-452b-9562-1bd523692ad3	38d1bed1-cb70-4f20-8e6a-2a695284903b	illinois.edu	Fall 2021	CS241-Lec08-Q02	Computer Science	CS	241	System Programming	AL1
a0a9e6da-a37a-4cba-b7eb-9b55922d60d9	38d1bed1-cb70-4f20-8e6a-2a695284903b	illinois.edu	Fall 2021	CS241-Lec08-Q02	Computer Science	CS	241	System Programming	AL1
c85c8b74-4dd9-42c2-914b-90494fde86f8	38d1bed1-cb70-4f20-8e6a-2a695284903b	illinois.edu	Fall 2021	CS241-Lec08-Q02	Computer Science	CS	241	System Programming	AL1
2c80a67a-6e39-4b62-812c-69eb49905471	370ff433-67d6-4761-87d1-38f451cf02d3	illinois.edu	Fall 2021	CS241-Lec08-Q03	Computer Science	CS	241	System Programming	AL1
57f1edee-d98f-4b8b-9ca9-c3c66e7774d1	370ff433-67d6-4761-87d1-38f451cf02d3	illinois.edu	Fall 2021	CS241-Lec08-Q03	Computer Science	CS	241	System Programming	AL1
7aab9397-22c3-4ad5-beca-764e7308dfdf	370ff433-67d6-4761-87d1-38f451cf02d3	illinois.edu	Fall 2021	CS241-Lec08-Q03	Computer Science	CS	241	System Programming	AL1
e3b111b7-8038-4f0e-a112-7fb6b2538548	370ff433-67d6-4761-87d1-38f451cf02d3	illinois.edu	Fall 2021	CS241-Lec08-Q03	Computer Science	CS	241	System Programming	AL1
117f0f11-cc38-4a40-b359-8f1ba81655e1	54f97e73-6d1c-4215-a2a2-c604ff871c43	illinois.edu	Fall 2021	CS241-Lec08-Q04	Computer Science	CS	241	System Programming	AL1
a746f13e-a606-4a28-85c3-75e143aa7126	54f97e73-6d1c-4215-a2a2-c604ff871c43	illinois.edu	Fall 2021	CS241-Lec08-Q04	Computer Science	CS	241	System Programming	AL1
32897e63-cb36-4269-8874-4059caa719c9	faa099f8-befc-437e-b827-e656bc2710b0	illinois.edu	Fall 2021	CS241-Lec08-Q05	Computer Science	CS	241	System Programming	AL1
cad0191f-9f49-493e-a48c-a5f1e58c2e72	faa099f8-befc-437e-b827-e656bc2710b0	illinois.edu	Fall 2021	CS241-Lec08-Q05	Computer Science	CS	241	System Programming	AL1
1eae9ffe-aa3f-41af-bb4f-a63743eb80a6	3037c608-8f5b-45ae-8ed2-3b9c99728baa	illinois.edu	Fall 2021	CS241-Lec08-Q06	Computer Science	CS	241	System Programming	AL1
1f76e788-6515-470d-8411-5a70fc7d7edb	870662c9-b8d7-43dc-ad8e-1bb9ac0a4af9	illinois.edu	Fall 2021	CS241-Lec08-Q07	Computer Science	CS	241	System Programming	AL1
305a1d6f-7dfb-4fe9-8271-64421be8f294	870662c9-b8d7-43dc-ad8e-1bb9ac0a4af9	illinois.edu	Fall 2021	CS241-Lec08-Q07	Computer Science	CS	241	System Programming	AL1
cbf2feb7-901b-481f-8dab-38bea64b966f	0d671c02-821b-4d14-b091-0e4bbe8c4780	illinois.edu	Fall 2021	CS241-Lec08-Q08	Computer Science	CS	241	System Programming	AL1
c761dcf5-f751-4ac2-acb7-906f30ff83be	be203664-b00c-46dd-8a49-6421c89cd763	illinois.edu	Fall 2021	CS241-Lec08-Q09	Computer Science	CS	241	System Programming	AL1
25b095de-25dc-448b-873a-ddcf22752393	5c3224e8-4a17-447a-98fc-9fc02909a3e7	illinois.edu	Fall 2021	CS241-Lec08-Q10	Computer Science	CS	241	System Programming	AL1
16e62b2f-2875-432e-af0d-583257d7723a	516480e8-7b29-40e4-be2a-dd4fbfb76986	illinois.edu	Fall 2021	CS241-Lec08-Q11	Computer Science	CS	241	System Programming	AL1
553189a9-6ee0-4efd-8e9e-0f57d5500e5f	38bac0cf-c288-4cf1-8516-b89857d14778	illinois.edu	Fall 2021	CS241-Lec09-Q01	Computer Science	CS	241	System Programming	AL1
692302bd-49d3-4d62-bbc5-f1d4ce6e3684	3556a852-1966-4ce0-b6d9-f3df2e4c9322	illinois.edu	Fall 2021	CS241-Lec09-Q02	Computer Science	CS	241	System Programming	AL1
3bc5e145-f08c-45f8-af8f-9b7dd35d816f	60cb1ead-fb02-42d6-818b-852b26a45734	illinois.edu	Fall 2021	CS241-Lec09-Q03	Computer Science	CS	241	System Programming	AL1
20a17ad5-03fa-40e1-bb61-739bcec6e2e2	d836d0a1-ff57-428f-8cd9-6149590c67ad	illinois.edu	Fall 2021	CS241-Lec09-Q04	Computer Science	CS	241	System Programming	AL1
009c9eb3-b71a-4571-8437-2a3fe5ce01e4	fc23eae1-5239-4247-b948-f77a3166cd03	illinois.edu	Fall 2021	CS241-Lec09-Q05	Computer Science	CS	241	System Programming	AL1
b24c9c84-49ae-4c9d-a9b0-914ea82356cb	d76b5f2b-32b4-434e-807e-733697fc095d	illinois.edu	Fall 2021	CS241-Lec09-Q06	Computer Science	CS	241	System Programming	AL1
9a084a3f-6ceb-4fe7-b5f7-2981d484a27d	ecf5ea35-be37-41b2-b7d2-7ab474bed932	illinois.edu	Fall 2021	CS241-Lec09-Q07	Computer Science	CS	241	System Programming	AL1
1853bd34-e9ca-43fa-91f5-250a9abc155b	5dc8c151-85b3-4ec4-aed4-6889de2d5c55	illinois.edu	Fall 2021	CS241-Lec10-Q01	Computer Science	CS	241	System Programming	AL1
734339b1-3010-43a2-9cfa-55d690efddab	822aa304-7441-4a88-b733-60fb19ea31ab	illinois.edu	Fall 2021	CS241-Lec10-Q02	Computer Science	CS	241	System Programming	AL1
1f0947f0-7d90-4971-8f36-20b870937782	efeab817-86b2-461c-88b8-fd79b6d79bb4	illinois.edu	Fall 2021	CS241-Lec10-Q03	Computer Science	CS	241	System Programming	AL1
4cadee54-ee1a-49c8-b696-1968feee37b3	c94089e2-8c6f-4f37-97d0-788d61792427	illinois.edu	Fall 2021	CS241-Lec10-Q04	Computer Science	CS	241	System Programming	AL1
37245daa-183e-43b4-9765-a5d9bc2a6ac6	c153e6f7-146a-4bc8-9e61-f8c4977ae247	illinois.edu	Fall 2021	CS241-Lec10-Q05	Computer Science	CS	241	System Programming	AL1
3b5991e9-7ddf-4adc-84ee-eccd61eef477	c153e6f7-146a-4bc8-9e61-f8c4977ae247	illinois.edu	Fall 2021	CS241-Lec10-Q05	Computer Science	CS	241	System Programming	AL1
7b1c59dc-9797-4c68-b6e7-541d34f43457	c153e6f7-146a-4bc8-9e61-f8c4977ae247	illinois.edu	Fall 2021	CS241-Lec10-Q05	Computer Science	CS	241	System Programming	AL1
056e04b9-e004-4e05-af4b-dee1b2888806	7fa364f4-e792-4045-b802-ae7a82239f79	illinois.edu	Fall 2021	CS241-Lec10-Q06	Computer Science	CS	241	System Programming	AL1
695347a9-a2df-4f4d-94d2-7a176d40a6d8	7fa364f4-e792-4045-b802-ae7a82239f79	illinois.edu	Fall 2021	CS241-Lec10-Q06	Computer Science	CS	241	System Programming	AL1
a4508de3-f913-4e5b-b5fd-61b6194f9963	7fa364f4-e792-4045-b802-ae7a82239f79	illinois.edu	Fall 2021	CS241-Lec10-Q06	Computer Science	CS	241	System Programming	AL1
a2ab9689-c933-4b35-bc36-acc823aa42c8	01b56d4a-02bc-41c3-a897-80a3be094ea2	illinois.edu	Fall 2021	CS241-Lec10-Q07	Computer Science	CS	241	System Programming	AL1
aa0b9953-6d9c-490f-98d3-9db93ed1ce12	01b56d4a-02bc-41c3-a897-80a3be094ea2	illinois.edu	Fall 2021	CS241-Lec10-Q07	Computer Science	CS	241	System Programming	AL1
78b152f6-1621-4792-8595-2687dfbc6aa9	eee1b185-b013-445a-ae60-54a4124d55c0	illinois.edu	Fall 2021	CS241-Lec11-Q01	Computer Science	CS	241	System Programming	AL1
7466bd20-538e-4aeb-b004-1fa8fb518f9f	fd3da857-9e98-40d4-a086-a223f26ca622	illinois.edu	Fall 2021	CS241-Lec11-Q02	Computer Science	CS	241	System Programming	AL1
ca760730-bb8f-426f-8d87-931bf10baf4e	035133fa-5852-46ad-af67-00990d2c128c	illinois.edu	Fall 2021	CS241-Lec11-Q03	Computer Science	CS	241	System Programming	AL1
83887d4e-f5b2-4f94-9e3f-4d3c19d88dd9	111c55f3-f935-47fe-9971-29f6adbefd01	illinois.edu	Fall 2021	CS241-Lec11-Q04	Computer Science	CS	241	System Programming	AL1
aa01a980-f756-4c1c-87f6-abf1aed24f98	7f79555d-ac03-4207-b683-158e6666b554	illinois.edu	Fall 2021	CS241-Lec11-Q05	Computer Science	CS	241	System Programming	AL1
d80efb9d-96a2-4cc0-ad4f-a9049155313e	7f79555d-ac03-4207-b683-158e6666b554	illinois.edu	Fall 2021	CS241-Lec11-Q05	Computer Science	CS	241	System Programming	AL1
662ac3ea-798b-43f9-bf91-290620d22337	a4d368e1-6b28-4551-bcb9-49f0b94806f8	illinois.edu	Fall 2021	CS241-Lec11-Q06	Computer Science	CS	241	System Programming	AL1
7afa3190-3b6d-4454-b743-9c28293d7927	a4d368e1-6b28-4551-bcb9-49f0b94806f8	illinois.edu	Fall 2021	CS241-Lec11-Q06	Computer Science	CS	241	System Programming	AL1
631bb988-4152-4a20-a77e-bcd5ee36e8bd	d8df3385-0924-4210-9917-883bdf64d1a7	illinois.edu	Fall 2021	CS241-Lec11-Q07	Computer Science	CS	241	System Programming	AL1
878b74a6-a549-454c-8d94-a7475a0ba344	d8df3385-0924-4210-9917-883bdf64d1a7	illinois.edu	Fall 2021	CS241-Lec11-Q07	Computer Science	CS	241	System Programming	AL1
3ce291dc-9221-4a5f-aac9-4747049cb814	f0aeeaeb-c64c-4faf-a5ac-e6839f62fdeb	illinois.edu	Fall 2021	CS241-Lec11-Q08	Computer Science	CS	241	System Programming	AL1
fb05f32f-d4b1-453f-9b01-a86921da1237	f0aeeaeb-c64c-4faf-a5ac-e6839f62fdeb	illinois.edu	Fall 2021	CS241-Lec11-Q08	Computer Science	CS	241	System Programming	AL1
633f10ed-2038-4da2-9855-c3cad245559f	0e3d3363-d133-4ce1-9365-48e4963a144e	illinois.edu	Fall 2021	CS241-Lec11-Q09	Computer Science	CS	241	System Programming	AL1
f2c1dcdd-6603-4888-b5ba-26fb62756937	0e3d3363-d133-4ce1-9365-48e4963a144e	illinois.edu	Fall 2021	CS241-Lec11-Q09	Computer Science	CS	241	System Programming	AL1
8078f738-b531-4bab-83c7-0facaf3ee1bf	3261dd09-3d7a-41cb-a224-f0db78763d7c	illinois.edu	Fall 2021	CS241-Lec11-Q10	Computer Science	CS	241	System Programming	AL1
d761f708-bdec-4cdc-93a5-bc0bec8fefed	3261dd09-3d7a-41cb-a224-f0db78763d7c	illinois.edu	Fall 2021	CS241-Lec11-Q10	Computer Science	CS	241	System Programming	AL1
74e03522-c6e8-4e59-84ba-95a62ce5f3fd	4c0f5f92-cfbe-4f71-8f38-9663266b644c	illinois.edu	Fall 2021	CS241-Lec12-Q01	Computer Science	CS	241	System Programming	AL1
d20bd8cb-7714-4093-a0bd-850b11d62c39	ec9ac9ba-7f43-4f93-a5ba-7b9d590e64aa	illinois.edu	Fall 2021	CS241-Lec12-Q02	Computer Science	CS	241	System Programming	AL1
43f3b072-76f4-44af-91de-41fdc64695b5	281c3d1c-67de-4cde-b228-385a00035e37	illinois.edu	Fall 2021	CS241-Lec12-Q03	Computer Science	CS	241	System Programming	AL1
8009fab2-350d-44a8-878e-cf2331acdb2b	281c3d1c-67de-4cde-b228-385a00035e37	illinois.edu	Fall 2021	CS241-Lec12-Q03	Computer Science	CS	241	System Programming	AL1
5cfcbc81-f386-4c5f-bbdc-4d1995a831ae	eb3e5ace-54c5-4565-9248-8b272eb9835d	illinois.edu	Fall 2021	CS241-Lec12-Q04	Computer Science	CS	241	System Programming	AL1
860cce32-5467-4a4c-a9c0-2fac9093e34e	eb3e5ace-54c5-4565-9248-8b272eb9835d	illinois.edu	Fall 2021	CS241-Lec12-Q04	Computer Science	CS	241	System Programming	AL1
23d922a6-680c-4d83-887e-43c407779538	52da1e85-c6e2-4d52-9668-23bd8143ab0b	illinois.edu	Fall 2021	CS241-Lec12-Q05	Computer Science	CS	241	System Programming	AL1
ef681962-29d9-43da-bc9c-fdb2c8005093	1f634a38-a5ad-4d43-bba4-a632e82f8035	illinois.edu	Fall 2021	CS241-Lec12-Q06	Computer Science	CS	241	System Programming	AL1
802abd70-0cc9-49a1-8916-5ff1c0a98738	0e335293-6ff5-4b0d-b282-f24989e71e9c	illinois.edu	Fall 2021	CS241-Lec12-Q07	Computer Science	CS	241	System Programming	AL1
e78ecbc3-769b-414e-9b56-73ec2c33d594	0e335293-6ff5-4b0d-b282-f24989e71e9c	illinois.edu	Fall 2021	CS241-Lec12-Q07	Computer Science	CS	241	System Programming	AL1
f4714c76-3814-460d-a6cd-eb62fa0109ef	0e335293-6ff5-4b0d-b282-f24989e71e9c	illinois.edu	Fall 2021	CS241-Lec12-Q07	Computer Science	CS	241	System Programming	AL1
7515c79a-82da-4b96-90bc-a6cbb5ee3e36	1003629d-960f-4898-beb9-de1536ba5efc	illinois.edu	Fall 2021	CS241-Lec13-Q01	Computer Science	CS	241	System Programming	AL1
3c6b2669-f4b1-4b5e-ad45-a0b90bff5373	82031c83-6aa4-4d38-9fe6-fcaff20ea00e	illinois.edu	Fall 2021	CS241-Lec13-Q02	Computer Science	CS	241	System Programming	AL1
98759da5-160f-4e80-9141-033193a74769	883efff4-c062-4a5a-8acf-1b9deb063fcc	illinois.edu	Fall 2021	CS241-Lec13-Q03	Computer Science	CS	241	System Programming	AL1
e12861bf-8be8-4e4d-a2d8-c07e5d79f3dd	883efff4-c062-4a5a-8acf-1b9deb063fcc	illinois.edu	Fall 2021	CS241-Lec13-Q03	Computer Science	CS	241	System Programming	AL1
e574f9c9-dc9b-4dd2-b746-c100de94ae3b	883efff4-c062-4a5a-8acf-1b9deb063fcc	illinois.edu	Fall 2021	CS241-Lec13-Q03	Computer Science	CS	241	System Programming	AL1
0f70d1df-7a51-4bea-9a39-589fd7c57802	a16ddf30-a7ce-4b89-a8b4-d3bab9060d21	illinois.edu	Fall 2021	CS241-Lec13-Q04	Computer Science	CS	241	System Programming	AL1
849095e8-a9e5-4467-8af4-be36e4991af6	a16ddf30-a7ce-4b89-a8b4-d3bab9060d21	illinois.edu	Fall 2021	CS241-Lec13-Q04	Computer Science	CS	241	System Programming	AL1
b60fb3d4-0600-4074-8432-449ea0067907	a16ddf30-a7ce-4b89-a8b4-d3bab9060d21	illinois.edu	Fall 2021	CS241-Lec13-Q04	Computer Science	CS	241	System Programming	AL1
04137246-bc7c-420a-966b-5b8d482d352c	c73bdbe1-ca4a-4d40-ac86-dd88ca028193	illinois.edu	Fall 2021	CS241-Lec13-Q05	Computer Science	CS	241	System Programming	AL1
42b41294-c566-4d01-97b7-8822cdc13bb9	c73bdbe1-ca4a-4d40-ac86-dd88ca028193	illinois.edu	Fall 2021	CS241-Lec13-Q05	Computer Science	CS	241	System Programming	AL1
bca931a7-24de-4925-b5d1-9bfa74828e0c	c73bdbe1-ca4a-4d40-ac86-dd88ca028193	illinois.edu	Fall 2021	CS241-Lec13-Q05	Computer Science	CS	241	System Programming	AL1
040bf74d-c21b-4d61-a0f9-38e3b2cc4d67	cc52fb01-ec70-48ed-ac3c-0d0f5009aee9	illinois.edu	Fall 2021	CS241-Lec13-Q06	Computer Science	CS	241	System Programming	AL1
34f5f15f-13e2-472c-a71d-7653231e61e9	cc52fb01-ec70-48ed-ac3c-0d0f5009aee9	illinois.edu	Fall 2021	CS241-Lec13-Q06	Computer Science	CS	241	System Programming	AL1
0313c4b8-b3cb-47c4-893c-bcb27ce990a3	6bcd8791-b067-4442-b1c5-690b51547ecf	illinois.edu	Fall 2021	CS241-Lec13-Q07	Computer Science	CS	241	System Programming	AL1
1e783a67-b8be-40c2-9441-09e0f8e0a1f8	6bcd8791-b067-4442-b1c5-690b51547ecf	illinois.edu	Fall 2021	CS241-Lec13-Q07	Computer Science	CS	241	System Programming	AL1
fbf50bc7-ae3a-4768-be0b-502c42ec38cc	6bcd8791-b067-4442-b1c5-690b51547ecf	illinois.edu	Fall 2021	CS241-Lec13-Q07	Computer Science	CS	241	System Programming	AL1
